2024-03-17T14:56:45+00:00: Starting --insert_events
Running --insert_events...
2024-03-17T14:56:48+00:00: Inserting events from CSV file: 2019-Nov.csv
2024-03-17T14:57:04+00:00: Inserted chunk of size 59558 into database.
2024-03-17T14:57:20+00:00: Inserted chunk of size 61467 into database.
2024-03-17T14:57:37+00:00: Inserted chunk of size 62244 into database.
2024-03-17T14:57:54+00:00: Inserted chunk of size 62499 into database.
2024-03-17T14:58:10+00:00: Inserted chunk of size 62165 into database.
2024-03-17T14:58:25+00:00: Inserted chunk of size 62456 into database.
2024-03-17T14:58:43+00:00: Inserted chunk of size 63708 into database.
2024-03-17T14:58:59+00:00: Inserted chunk of size 63611 into database.
2024-03-17T14:59:16+00:00: Inserted chunk of size 63716 into database.
2024-03-17T14:59:33+00:00: Inserted chunk of size 62975 into database.
2024-03-17T14:59:50+00:00: Inserted chunk of size 63028 into database.
2024-03-17T15:00:08+00:00: Inserted chunk of size 61876 into database.
2024-03-17T15:00:25+00:00: Inserted chunk of size 61341 into database.
2024-03-17T15:00:43+00:00: Inserted chunk of size 61674 into database.
2024-03-17T15:01:01+00:00: Inserted chunk of size 59384 into database.
2024-03-17T15:01:20+00:00: Inserted chunk of size 60799 into database.
2024-03-17T15:01:39+00:00: Inserted chunk of size 62120 into database.
2024-03-17T15:01:59+00:00: Inserted chunk of size 61735 into database.
2024-03-17T15:02:19+00:00: Inserted chunk of size 63183 into database.
2024-03-17T15:02:41+00:00: Inserted chunk of size 64072 into database.
2024-03-17T15:03:04+00:00: Inserted chunk of size 62997 into database.
2024-03-17T15:03:27+00:00: Inserted chunk of size 62288 into database.
2024-03-17T15:03:52+00:00: Inserted chunk of size 62239 into database.
2024-03-17T15:04:16+00:00: Inserted chunk of size 62437 into database.
2024-03-17T15:04:41+00:00: Inserted chunk of size 62696 into database.
2024-03-17T15:05:06+00:00: Inserted chunk of size 62690 into database.
2024-03-17T15:05:32+00:00: Inserted chunk of size 61160 into database.
2024-03-17T15:05:59+00:00: Inserted chunk of size 60753 into database.
2024-03-17T15:06:26+00:00: Inserted chunk of size 60290 into database.
2024-03-17T15:06:52+00:00: Inserted chunk of size 60606 into database.
2024-03-17T15:07:19+00:00: Inserted chunk of size 58616 into database.
2024-03-17T15:07:48+00:00: Inserted chunk of size 61021 into database.
2024-03-17T15:08:19+00:00: Inserted chunk of size 62734 into database.
2024-03-17T15:08:50+00:00: Inserted chunk of size 62955 into database.
2024-03-17T15:09:23+00:00: Inserted chunk of size 64494 into database.
2024-03-17T15:09:56+00:00: Inserted chunk of size 64446 into database.
2024-03-17T15:10:30+00:00: Inserted chunk of size 64027 into database.
2024-03-17T15:11:08+00:00: Inserted chunk of size 63147 into database.
2024-03-17T15:11:44+00:00: Inserted chunk of size 63802 into database.
2024-03-17T15:12:21+00:00: Inserted chunk of size 62575 into database.
2024-03-17T15:13:00+00:00: Inserted chunk of size 63292 into database.
2024-03-17T15:13:40+00:00: Inserted chunk of size 64895 into database.
2024-03-17T15:14:20+00:00: Inserted chunk of size 61392 into database.
2024-03-17T15:14:59+00:00: Inserted chunk of size 62416 into database.
2024-03-17T15:15:35+00:00: Inserted chunk of size 61414 into database.
2024-03-17T15:16:14+00:00: Inserted chunk of size 61841 into database.
2024-03-17T15:16:55+00:00: Inserted chunk of size 58969 into database.
2024-03-17T15:17:36+00:00: Inserted chunk of size 60659 into database.
2024-03-17T15:18:17+00:00: Inserted chunk of size 61240 into database.
2024-03-17T15:19:00+00:00: Inserted chunk of size 62331 into database.
2024-03-17T15:19:42+00:00: Inserted chunk of size 62681 into database.
2024-03-17T15:20:24+00:00: Inserted chunk of size 62327 into database.
2024-03-17T15:21:06+00:00: Inserted chunk of size 60664 into database.
2024-03-17T15:21:48+00:00: Inserted chunk of size 60997 into database.
2024-03-17T15:22:31+00:00: Inserted chunk of size 62384 into database.
2024-03-17T15:23:14+00:00: Inserted chunk of size 61769 into database.
