2024-03-17T14:50:11+00:00: Starting --insert_products
Running --insert_products...
2024-03-17T14:50:13+00:00: Inserting products from CSV file: 2019-Nov.csv
2024-03-17T14:50:17+00:00: Inserted chunk of size 9050 into database.
2024-03-17T14:50:19+00:00: Inserted chunk of size 3923 into database.
2024-03-17T14:50:20+00:00: Inserted chunk of size 2881 into database.
2024-03-17T14:50:21+00:00: Inserted chunk of size 2311 into database.
2024-03-17T14:50:22+00:00: Inserted chunk of size 1840 into database.
2024-03-17T14:50:22+00:00: Inserted chunk of size 1622 into database.
2024-03-17T14:50:24+00:00: Inserted chunk of size 1456 into database.
2024-03-17T14:50:24+00:00: Inserted chunk of size 1303 into database.
2024-03-17T14:50:25+00:00: Inserted chunk of size 1281 into database.
2024-03-17T14:50:26+00:00: Inserted chunk of size 1254 into database.
2024-03-17T14:50:27+00:00: Inserted chunk of size 1171 into database.
2024-03-17T14:50:27+00:00: Inserted chunk of size 1040 into database.
2024-03-17T14:50:28+00:00: Inserted chunk of size 1021 into database.
2024-03-17T14:50:29+00:00: Inserted chunk of size 997 into database.
2024-03-17T14:50:30+00:00: Inserted chunk of size 906 into database.
2024-03-17T14:50:31+00:00: Inserted chunk of size 684 into database.
2024-03-17T14:50:31+00:00: Inserted chunk of size 590 into database.
2024-03-17T14:50:32+00:00: Inserted chunk of size 665 into database.
2024-03-17T14:50:33+00:00: Inserted chunk of size 477 into database.
2024-03-17T14:50:33+00:00: Inserted chunk of size 430 into database.
2024-03-17T14:50:34+00:00: Inserted chunk of size 479 into database.
2024-03-17T14:50:35+00:00: Inserted chunk of size 422 into database.
2024-03-17T14:50:35+00:00: Inserted chunk of size 439 into database.
2024-03-17T14:50:36+00:00: Inserted chunk of size 432 into database.
2024-03-17T14:50:36+00:00: Inserted chunk of size 429 into database.
2024-03-17T14:50:37+00:00: Inserted chunk of size 457 into database.
2024-03-17T14:50:38+00:00: Inserted chunk of size 476 into database.
2024-03-17T14:50:38+00:00: Inserted chunk of size 439 into database.
2024-03-17T14:50:39+00:00: Inserted chunk of size 409 into database.
2024-03-17T14:50:39+00:00: Inserted chunk of size 419 into database.
2024-03-17T14:50:40+00:00: Inserted chunk of size 347 into database.
2024-03-17T14:50:40+00:00: Inserted chunk of size 298 into database.
